ds,prediction,prediction_lower,prediction_upper,country
2018-12-06,0.01805014690825101,0.0,17.302117918355503,Lithuania
2018-12-07,0.0,0.0,15.22461869483655,Lithuania
2018-12-08,0.04390608170300206,0.0,15.634892338030157,Lithuania
2018-12-09,0.05499169076490284,0.0,16.192575377005582,Lithuania
2018-12-10,0.011778237288142897,0.0,17.131135550305242,Lithuania
2018-12-11,0.03786748020602297,0.0,16.469426618961766,Lithuania
2018-12-12,0.05820370150717708,0.0,15.261205307412238,Lithuania
2018-12-13,0.0778306397587749,0.0,16.187541605055618,Lithuania
2018-12-14,0.0,0.0,15.74492827155355,Lithuania
2018-12-15,0.10974129450359149,0.0,16.246632715425065,Lithuania
2018-12-16,0.12078399992894,0.0,15.82851853921074,Lithuania
2018-12-17,0.0691027202313262,0.0,17.123938002124653,Lithuania
2018-12-18,0.09300060181023126,0.0,16.893288703130573,Lithuania
2018-12-19,0.10847348102562213,0.0,16.23728968474943,Lithuania
2018-12-20,0.12128322489805649,0.0,15.7452251610525,Lithuania
2018-12-21,0.0,0.0,13.828108214700533,Lithuania
2018-12-22,0.13391886043834844,0.0,16.46323490311228,Lithuania
2018-12-23,0.13292699449943948,0.0,15.613806568674358,Lithuania
2018-12-24,0.061781435615312255,0.0,16.177522588726774,Lithuania
2018-12-25,0.073886249294706,0.0,16.80943447791466,Lithuania
2018-12-26,0.07666468838756703,0.0,16.973490893120022,Lithuania
2018-12-27,0.07693627895873768,0.0,15.326360062047499,Lithuania
2018-12-28,0.0,0.0,15.620679700938867,Lithuania
2018-12-29,0.06629076674039336,0.0,16.820456099446048,Lithuania
2018-12-30,0.05537392582016818,0.0,17.10716832970673,Lithuania
2018-12-31,0.0,0.0,15.830371104951093,Lithuania
2019-01-01,0.0,0.0,16.14829233298735,Lithuania
2019-01-02,0.0,0.0,17.07365823315538,Lithuania
2019-01-03,0.0,0.0,16.346251473543177,Lithuania
2019-01-04,0.0,0.0,29.967138267300296,Lithuania
2019-01-05,0.0,0.0,16.627269489777902,Lithuania
2019-01-06,0.0,0.0,17.441925801794838,Lithuania
2019-01-07,0.0,0.0,24.279022387320573,Lithuania
2019-01-08,0.0,0.0,26.078717132830604,Lithuania
2019-01-09,0.0,0.0,25.940920858134504,Lithuania
2019-01-10,0.0,0.0,22.670825506441968,Lithuania
2019-01-11,0.0,0.0,553.0322169872485,Lithuania
2019-01-12,0.013222794010240912,0.0,18.174703591475325,Lithuania
2019-01-13,0.03673110509315546,0.0,28.94235392506497,Lithuania
2019-01-14,0.0,0.0,26.795420311716263,Lithuania
2019-01-15,0.02803367543197423,0.0,28.253346065440564,Lithuania
2019-01-16,0.07295086227142218,0.0,66.35959575162367,Lithuania
2019-01-17,0.11868140951971422,0.0,120.11282303830947,Lithuania
2019-01-18,0.0,0.0,1259.8827037724116,Lithuania
2019-01-19,0.2040807961520601,0.0,246.04314764022817,Lithuania
2019-01-20,0.24156269320344403,0.0,321.9008985680467,Lithuania
2019-01-21,0.18439606794398564,0.0,254.0362289401551,Lithuania
2019-01-22,0.24413637544917802,0.0,363.98804673169053,Lithuania
2019-01-23,0.2914620818734401,0.0,452.95651615906434,Lithuania
2019-01-24,0.33482803927527083,0.0,565.3351901046562,Lithuania
2019-01-25,0.0,0.0,1849.2009518175985,Lithuania
2019-01-26,0.4006442145888729,0.0,763.6462602248234,Lithuania
2019-01-27,0.4211046549784469,0.0,842.7824582285581,Lithuania
2019-01-28,0.33622365152363826,0.0,697.579366947814,Lithuania
2019-01-29,0.37271227799326173,0.0,821.0788304986609,Lithuania
2019-01-30,0.39280051640746627,0.0,893.1507265309958,Lithuania
2019-01-31,0.4061932357393509,0.0,977.6749626994886,Lithuania
2019-02-01,0.0,0.0,2804.961447543764,Lithuania
2019-02-02,0.40627480271987654,0.0,1044.9653718715563,Lithuania
2019-02-03,0.39248582047911584,0.0,1047.4456717485914,Lithuania
2019-02-04,0.2672909642456618,0.0,738.207003014791,Lithuania
2019-02-05,0.2729693501359832,0.0,785.1139932853545,Lithuania
2019-02-06,0.2635904053602391,0.0,776.2887993856124,Lithuania
2019-02-07,0.2502624434841849,0.0,757.5249947468833,Lithuania
2019-02-08,0.0,0.0,4329.657168395284,Lithuania
2019-02-09,0.2074676121752022,0.0,662.8616081351649,Lithuania
2019-02-10,0.17863023418330862,0.0,596.9282916925588,Lithuania
2019-02-11,0.03700205699018088,0.0,130.9191736595899,Lithuania
2019-02-12,0.039891575274080104,0.0,140.51292698506535,Lithuania
2019-02-13,0.03255368638799383,0.0,121.33034772432542,Lithuania
2019-02-14,0.026746951854080426,0.0,98.01393790560277,Lithuania
